039.3.09370.05.0;Atelier - Courlaoux;CE;Centre ou District;CRLX;Courlaoux;C;Bâtiments d'exploitation;Atelier;BATGEN;Jura;RDC;744.0;;;;;;;;;;;46.66665704599999;5.422424308000001
031.1.02470.01.0;Hangar à sel - Gevrey-Chambertin;PA;Point d'appui;GECH;Gevrey-Chambertin;C;Bâtiments d'exploitation;Hangar à sel;STOCK;Dijonnais;RDC;0.0;;;;;;;;;;;47.21218987699997;5.001308476
TML.3.00290.10.0;Hangar à sel - Tunnel Maurice-Lemaire;CE;Centre ou District;TMLE;Tunnel Maurice-Lemaire;C;Bâtiments d'exploitation;Hangar à sel;STOCK;Lorraine;RDC;0.0;;;;;;;;;;;48.29000528699998;7.1082092789999995
036.2.12860.04.0;Sanitaires clients indépendants - Bois de Frachère;AR;Aire de repos;BDFR;Bois de Frachère;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Comtois;RDC;20.0;;;;;;;;;;;47.27029093999999;5.929832310000001
036.3.19590.00.0;Locaux techniques - Seurre;GA;Gare;SEUR;Seurre;D;Bâtiments des gares de péage;Locaux techniques dédiés au péage;LTECH;Comtois;RDC;60.0;;;;;;;;;;;47.02939120500001;5.170431994
039.3.02160.00.0;Hangar - Soirans;PA;Point d'appui;SRNS;Soirans;C;Bâtiments d'exploitation;Hangar;STOCK;Dijonnais;RDC;50.0;;;;;;;;;;;47.204274279999986;5.304734113
039.3.09370.13.0;Locaux techniques - Beaurepaire-en-Bresse;GA;Gare;BBRS;Beaurepaire-en-Bresse;D;Bâtiments des gares de péage;Locaux techniques dédiés au péage;LTECH;Jura;RDC;71.0;;;;;;;;;;;46.66621895;5.419009545
006.1.28640.01.0;Sanitaires clients indépendants - La Forêt;AS;Aire de service;FORE;La Forêt;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Morvan;RDC;10.0;;;;;;;;;;;47.10430424999997;4.71269816
TML.4.00290.01.0;Auvents de gare de péage ou de BPV - Tunnel Maurice Lemaire;BA;Barrière pleine voie;TMLE;Tunnel Maurice Lemaire;J;Auvent;Auvents de gare de péage ou de BPV;AUVENT;Lorraine;;;;;;;;;;;;;48.29011975000001;7.11101059
TML.4.00290.00.0;Bât.bureaux Centre d'Entretien - Tunnel Maurice-Lemaire;CE;Centre ou District;TMLE;Tunnel Maurice-Lemaire;A;Bâtiments administratifs, bureaux et sociaux;Bât.bureaux Centre d'Entretien;BATGEN;Lorraine;RDC;58.0;;;;;;;;;;;48.289796729999985;7.11019788
036.1.06030.03.0;Sanitaires clients indépendants - Ecot;AR;Aire de repos;ECOT;Ecot;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Belfort Montbeliard;RDC;15.0;;;;;;;;;;;47.44336546;6.72846138
040.1.13070.03.0;Sanitaires clients indépendants - Ceignes Haut-Bugey;AS;Aire de service;CHBU;Ceignes Haut-Bugey;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Haut Bugey;RDC;10.0;;;;;;;;;;;46.11953464999999;5.491021570000001
031.1.21150.00.0;Sanitaires clients indépendants - Malvaux;AR;Aire de repos;MLVX;Malvaux;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Lorraine;RDC;45.0;;;;;;;;;;;48.50720899599999;5.913636646999999
006.3.12780.07.0;Sanitaires clients indépendants - Joigny;GA;Gare;JGNY;Joigny;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Gâtinais;RDC;7.0;;;;;;;;;;;47.937969579999994;3.2457407579999997
006.1.43770.02.1;Bureaux de District - Les Chères;PA;Point d'appui;CHER;Les Chères;A;Bâtiments administratifs, bureaux et sociaux;Bureaux de District;BATGEN;Villefranche;RDC;68.0;;;;;;;;;;;45.886222909999994;4.735947549999999
040.2.18860.11.0;Stockage  - St.Genis-sur-Menthon;PA;Point d'appui;SGSM;St.Genis-sur-Menthon;C;Bâtiments d'exploitation;Stockage ;STOCK;Ain;RDC;70.0;;;;;;;;;;;46.271738983999995;5.016676533
714.1.00100.00.0;Sanitaires clients indépendants - Bedun;AR;Aire de repos;BDUN;Bedun;E;Edicules sanitaires publics;Sanitaires clients indépendants;SANIT;Centre de la France;RDC;25.0;;;;;;;;;;;46.396066579999996;2.70945281
006.1.26905.00.0;Locaux techniques - Chaignot;AR;Aire de repos;CHGN;Chaignot;F;Locaux techniques du réseau;Locaux techniques indépendants ;LTECH;Morvan;RDC;4.0;;;;;;;;;;;47.22067350699997;4.593264248
043.3.12745.08.0;Bât. bureau GN / BRI - Aiton;CE;Centre ou District;AITN;Aiton;B;Bâtiments et locaux affectés aux forces de l'ordre;Bât. bureau GN / BRI;BATGEN;Val de l'Isère;RDC;140.0;RDC+1;140.0;;;;;;;;;45.556455439999986;6.248426397
